,0,1,2
0,1,0,0
1,0,1,3
2,1,0,0
3,2,1,0
4,2,1,0
5,0,3,0
6,1,0,0
7,0,1,3
8,2,0,0
9,2,0,0
10,1,1,1
11,3,3,0
12,2,0,0
13,3,2,1
14,3,1,0
15,2,2,3
16,1,1,1
17,0,3,0
18,3,0,3
19,2,1,0
20,1,3,3
21,0,0,1
22,0,3,0
23,0,3,0
24,0,3,0
25,1,0,0
26,2,0,0
27,2,1,0
28,2,0,0
29,2,3,1
30,0,0,1
31,0,3,0
32,3,1,0
33,0,0,1
34,2,3,1
35,0,1,3
36,0,2,0
37,1,1,1
38,1,0,0
39,1,1,1
40,1,3,3
41,2,1,0
42,0,0,1
43,1,0,0
44,2,3,1
45,3,3,0
46,1,1,1
47,0,0,1
48,2,0,0
49,0,2,0
50,1,3,3
51,2,3,1
52,2,1,0
53,2,3,1
54,0,3,0
55,1,0,0
56,3,2,1
57,3,1,0
58,3,3,0
59,2,0,0
60,1,1,1
61,1,2,0
62,0,2,0
63,2,2,3
64,3,2,1
65,1,1,1
66,0,0,1
67,2,1,0
68,0,0,1
69,2,3,1
70,3,2,1
71,1,1,1
72,1,2,0
73,2,0,0
74,2,1,0
75,3,2,1
76,1,0,0
77,1,0,0
78,0,3,0
79,1,3,3
80,0,2,0
81,3,3,0
82,2,2,3
83,0,2,0
84,2,3,1
85,2,1,0
86,3,3,0
87,0,2,0
88,0,0,1
89,3,2,1
90,1,0,0
91,0,2,0
92,2,3,1
93,1,2,0
94,1,3,3
95,0,3,0
96,0,0,1
97,0,3,0
98,1,0,0
99,0,2,0
100,2,3,1
101,3,1,0
102,1,2,0
103,1,2,0
104,0,2,0
105,3,3,0
106,2,0,0
107,1,3,3
108,1,3,3
109,1,2,0
110,1,2,0
111,1,2,0
112,3,1,0
113,2,1,0
114,1,1,1
115,3,1,0
116,0,2,0
117,1,1,1
118,1,3,3
119,2,0,0
120,3,0,3
121,0,1,3
122,2,3,1
123,2,0,0
124,2,0,0
125,2,2,3
126,1,0,0
127,3,2,1
128,1,3,3
129,0,1,3
130,1,3,3
131,2,0,0
132,1,1,1
133,0,1,3
134,3,1,0
135,3,1,0
136,2,3,1
137,2,3,1
138,0,2,0
139,2,3,1
140,2,2,3
141,3,2,1
142,2,0,0
143,3,2,1
144,2,3,1
145,0,3,0
146,2,1,0
147,0,1,3
148,1,0,0
149,3,3,0
150,3,3,0
151,1,2,0
152,1,2,0
153,3,1,0
154,1,3,3
155,2,1,0
156,3,2,1
157,2,2,3
158,0,0,1
159,3,3,0
160,0,1,3
161,2,1,0
162,2,3,1
163,3,1,0
164,2,2,3
165,1,2,0
166,2,0,0
167,3,2,1
168,2,1,0
169,3,1,0
170,0,3,0
171,2,0,0
172,2,3,1
173,1,3,3
174,2,2,3
175,2,3,1
176,2,2,3
177,3,3,0
178,2,2,3
179,1,1,1
180,1,1,1
181,2,0,0
182,0,1,3
183,1,1,1
184,2,0,0
185,1,3,3
186,2,1,0
187,1,0,0
188,2,3,1
189,0,3,0
190,2,0,0
191,1,0,0
192,3,1,0
193,1,1,1
194,0,2,0
195,2,3,1
196,0,2,0
197,3,2,1
198,1,2,0
199,1,0,0
200,2,3,1
201,2,3,1
202,0,0,1
203,0,1,3
204,2,1,0
205,1,3,3
206,0,3,0
207,1,1,1
208,1,0,0
209,2,0,0
210,1,3,3
211,3,1,0
212,3,2,1
213,0,0,1
214,1,3,3
215,3,1,0
216,1,0,0
217,1,2,0
218,0,1,3
219,1,0,0
220,2,3,1
221,2,3,1
222,3,3,0
223,1,2,0
224,2,1,0
225,3,1,0
226,0,2,0
227,2,2,3
228,3,3,0
229,1,1,1
230,2,0,0
231,3,3,0
232,1,3,3
233,2,3,1
234,2,1,0
235,1,0,0
236,2,1,0
237,2,3,1
238,0,1,3
239,2,2,3
240,2,0,0
241,2,2,3
242,0,0,1
243,3,3,0
244,3,2,1
245,0,2,0
246,1,1,1
247,3,0,3
248,0,3,0
249,2,1,0
250,2,0,0
251,2,2,3
252,3,0,3
253,0,3,0
254,3,2,1
255,3,0,3
256,1,1,1
257,1,3,3
258,3,1,0
259,3,1,0
260,0,0,1
261,2,3,1
262,1,2,0
263,2,3,1
264,3,0,3
265,1,1,1
266,2,0,0
267,3,3,0
268,0,0,1
269,1,1,1
270,0,0,1
271,1,3,3
272,1,2,0
273,0,3,0
274,3,0,3
275,0,3,0
276,1,1,1
277,0,0,1
278,2,1,0
279,0,2,0
280,2,3,1
281,0,3,0
282,0,2,0
283,3,2,1
284,0,2,0
285,0,3,0
286,2,3,1
287,1,2,0
288,3,2,1
289,3,3,0
290,1,1,1
291,2,3,1
292,0,2,0
293,2,0,0
294,0,1,3
295,0,1,3
296,3,2,1
297,0,3,0
298,3,3,0
299,0,1,3
300,3,3,0
301,1,3,3
302,3,1,0
303,1,1,1
304,3,2,1
305,0,2,0
306,2,2,3
307,0,3,0
308,0,1,3
309,2,1,0
310,3,2,1
311,2,0,0
312,1,0,0
313,3,2,1
314,0,3,0
315,2,0,0
316,0,2,0
317,2,1,0
318,0,0,1
319,3,0,3
320,0,1,3
321,2,1,0
322,1,3,3
323,0,1,3
324,1,2,0
325,1,3,3
326,1,2,0
327,0,0,1
328,2,3,1
329,0,2,0
330,2,2,3
331,1,1,1
332,2,3,1
333,0,3,0
334,0,3,0
335,2,1,0
336,1,3,3
337,3,2,1
338,3,2,1
339,3,3,0
340,3,1,0
341,0,1,3
342,1,0,0
343,2,3,1
344,1,3,3
345,1,1,1
346,3,2,1
347,0,1,3
348,1,0,0
349,3,3,0
350,2,0,0
351,1,3,3
352,0,2,0
353,3,0,3
354,1,2,0
355,0,0,1
356,3,2,1
357,2,0,0
358,1,3,3
359,1,0,0
360,0,2,0
361,0,2,0
362,0,2,0
363,3,3,0
364,0,3,0
365,3,3,0
366,3,0,3
367,2,0,0
368,2,3,1
369,1,2,0
370,2,2,3
371,0,0,1
372,3,1,0
373,2,3,1
374,0,1,3
375,3,2,1
376,3,1,0
377,2,3,1
378,1,1,1
379,1,0,0
380,0,2,0
381,0,3,0
382,0,1,3
383,2,1,0
384,0,0,1
385,2,1,0
386,0,2,0
387,1,3,3
388,0,2,0
389,0,0,1
390,2,1,0
391,0,2,0
392,1,3,3
393,2,3,1
394,3,0,3
395,1,3,3
396,3,2,1
397,1,3,3
398,3,2,1
399,2,2,3
400,0,1,3
401,2,1,0
402,0,3,0
403,3,3,0
404,0,1,3
405,1,2,0
406,0,0,1
407,2,2,3
408,2,1,0
409,1,3,3
410,1,3,3
411,0,2,0
412,3,0,3
413,2,2,3
414,3,1,0
415,0,0,1
416,1,1,1
417,2,3,1
418,3,2,1
419,0,0,1
420,2,1,0
421,0,2,0
422,1,0,0
423,2,1,0
424,2,2,3
425,1,2,0
426,0,3,0
427,1,0,0
428,3,3,0
429,0,3,0
430,1,3,3
431,1,3,3
432,3,3,0
433,1,2,0
434,1,0,0
435,0,3,0
436,1,1,1
437,0,0,1
438,0,0,1
439,0,2,0
440,3,0,3
441,3,1,0
442,0,1,3
443,2,2,3
444,1,3,3
445,3,1,0
446,2,2,3
447,3,2,1
448,3,3,0
449,1,0,0
450,1,2,0
451,0,0,1
452,1,1,1
453,0,3,0
454,0,2,0
455,3,3,0
456,3,0,3
457,3,2,1
458,2,1,0
459,3,1,0
460,1,2,0
461,2,0,0
462,0,1,3
463,3,1,0
464,2,0,0
465,2,3,1
466,2,0,0
467,0,3,0
468,3,1,0
469,0,0,1
470,2,2,3
471,0,2,0
472,1,3,3
473,1,0,0
474,0,0,1
475,0,1,3
476,0,2,0
477,3,0,3
478,1,0,0
479,1,1,1
480,1,1,1
481,1,1,1
482,0,3,0
483,2,1,0
484,2,0,0
485,0,2,0
486,3,2,1
487,2,3,1
488,0,0,1
489,0,3,0
490,3,0,3
491,0,0,1
492,3,0,3
493,0,2,0
494,1,3,3
495,0,0,1
496,2,3,1
497,1,2,0
498,3,1,0
499,3,0,3
500,0,0,1
501,1,1,1
502,2,1,0
503,0,0,1
504,0,2,0
505,0,0,1
506,0,0,1
507,2,0,0
508,0,1,3
509,3,1,0
510,2,1,0
511,3,2,1
512,2,0,0
513,3,1,0
514,1,2,0
515,2,2,3
516,3,2,1
517,3,1,0
518,1,2,0
519,1,1,1
520,2,0,0
521,0,2,0
522,2,0,0
523,0,3,0
524,2,1,0
525,1,3,3
526,3,2,1
527,3,2,1
528,3,3,0
529,2,0,0
530,2,1,0
531,2,2,3
532,3,2,1
533,0,0,1
534,3,1,0
535,3,3,0
536,3,0,3
537,0,3,0
538,2,2,3
539,0,0,1
540,3,2,1
541,0,1,3
542,0,1,3
543,2,3,1
544,1,2,0
545,1,1,1
546,3,2,1
547,0,2,0
548,0,3,0
549,0,3,0
550,3,2,1
551,1,3,3
552,2,0,0
553,3,0,3
554,3,3,0
555,3,0,3
556,3,2,1
557,3,0,3
558,3,1,0
559,0,2,0
560,3,1,0
561,1,2,0
562,0,1,3
563,0,3,0
564,2,1,0
565,0,2,0
566,0,0,1
567,2,1,0
568,1,1,1
569,0,3,0
570,0,1,3
571,1,0,0
572,0,2,0
573,2,0,0
574,0,1,3
575,0,3,0
576,1,2,0
577,2,1,0
578,2,3,1
579,1,1,1
580,1,0,0
581,0,0,1
582,1,0,0
583,1,1,1
584,1,0,0
585,3,1,0
586,2,2,3
587,2,1,0
588,0,3,0
589,2,3,1
590,0,3,0
591,0,0,1
592,3,3,0
593,0,0,1
594,1,3,3
595,2,3,1
596,1,2,0
597,1,1,1
598,1,2,0
599,2,0,0
600,2,3,1
601,0,2,0
602,2,0,0
603,2,3,1
604,3,1,0
605,0,0,1
606,0,2,0
607,2,2,3
608,1,3,3
609,3,2,1
610,0,1,3
611,3,3,0
612,2,0,0
613,3,2,1
614,2,2,3
615,3,2,1
616,3,0,3
617,2,2,3
618,1,0,0
619,0,2,0
620,1,0,0
621,1,3,3
622,1,0,0
623,0,3,0
624,0,3,0
625,0,2,0
626,2,0,0
627,0,3,0
628,1,3,3
629,1,0,0
630,3,2,1
631,0,2,0
632,1,1,1
633,0,3,0
634,2,2,3
635,2,1,0
636,3,2,1
637,2,1,0
638,0,2,0
639,2,0,0
640,3,2,1
641,0,0,1
642,1,2,0
643,3,2,1
644,1,3,3
645,3,1,0
646,2,0,0
647,1,3,3
648,2,3,1
649,0,2,0
650,2,0,0
651,1,1,1
652,3,1,0
653,2,2,3
654,3,2,1
655,0,1,3
656,2,1,0
657,0,2,0
658,0,1,3
659,2,0,0
660,2,1,0
661,0,0,1
662,3,1,0
663,0,1,3
664,2,1,0
665,1,1,1
666,1,1,1
667,1,3,3
668,2,2,3
669,0,1,3
670,1,2,0
671,2,0,0
672,0,1,3
673,0,2,0
674,0,1,3
675,1,2,0
676,3,3,0
677,1,1,1
678,1,1,1
679,2,3,1
680,2,0,0
681,3,3,0
682,3,1,0
683,3,3,0
684,0,0,1
685,0,0,1
686,1,1,1
687,2,0,0
688,2,3,1
689,0,0,1
690,3,2,1
691,2,3,1
692,3,1,0
693,1,0,0
694,0,2,0
695,3,0,3
696,2,3,1
697,0,0,1
698,1,0,0
699,2,3,1
700,0,0,1
701,1,0,0
702,2,1,0
703,1,0,0
704,1,2,0
705,3,1,0
706,2,3,1
707,2,0,0
708,0,3,0
709,1,2,0
710,3,2,1
711,3,2,1
712,0,2,0
713,3,2,1
714,3,0,3
715,2,0,0
716,2,2,3
717,0,2,0
718,3,0,3
719,3,1,0
720,1,1,1
721,3,0,3
722,2,3,1
723,3,2,1
724,3,1,0
725,3,1,0
726,3,3,0
727,1,3,3
728,1,2,0
729,0,1,3
730,0,0,1
731,1,2,0
732,0,1,3
733,0,0,1
734,2,0,0
735,0,2,0
736,1,0,0
737,3,0,3
738,2,2,3
739,3,1,0
740,0,1,3
741,2,3,1
742,1,1,1
743,0,2,0
744,3,3,0
745,0,1,3
746,0,3,0
747,0,1,3
748,0,1,3
749,0,3,0
750,2,3,1
751,2,1,0
752,2,2,3
753,0,0,1
754,0,0,1
755,1,2,0
756,0,2,0
757,1,1,1
758,0,1,3
759,3,0,3
760,0,1,3
761,0,0,1
762,3,2,1
763,0,1,3
764,2,0,0
765,3,3,0
766,2,1,0
767,2,1,0
768,1,0,0
769,1,1,1
770,0,1,3
771,2,1,0
772,0,0,1
773,2,2,3
774,0,0,1
775,2,3,1
776,1,2,0
777,1,1,1
778,0,2,0
779,0,3,0
780,0,1,3
781,0,1,3
782,1,2,0
783,0,1,3
784,2,1,0
785,3,1,0
786,0,0,1
787,1,1,1
788,0,3,0
789,2,0,0
790,0,2,0
791,0,1,3
792,2,3,1
793,0,2,0
794,3,3,0
795,1,0,0
796,1,0,0
797,3,3,0
798,0,3,0
799,2,2,3
800,3,0,3
801,2,0,0
802,1,3,3
803,1,2,0
804,0,1,3
805,0,2,0
806,1,1,1
807,1,3,3
808,2,3,1
809,0,3,0
810,1,2,0
811,0,0,1
812,0,3,0
813,3,0,3
814,1,1,1
815,0,0,1
816,2,0,0
817,1,1,1
818,1,2,0
819,2,1,0
820,1,2,0
821,1,2,0
822,0,0,1
823,2,2,3
824,0,3,0
825,1,0,0
826,2,0,0
827,3,3,0
828,2,1,0
829,0,0,1
830,2,0,0
831,2,0,0
832,3,1,0
833,0,2,0
834,3,3,0
835,1,1,1
836,2,1,0
837,1,1,1
838,1,2,0
839,3,3,0
840,2,1,0
841,1,3,3
842,1,3,3
843,0,1,3
844,3,3,0
845,1,3,3
846,3,1,0
847,1,2,0
848,0,3,0
849,0,1,3
850,1,1,1
851,3,2,1
852,3,1,0
853,0,2,0
854,2,1,0
855,2,0,0
856,0,0,1
857,0,0,1
858,0,2,0
859,2,2,3
860,1,3,3
861,1,3,3
862,0,2,0
863,2,1,0
864,2,0,0
865,2,2,3
866,2,3,1
867,1,3,3
868,2,0,0
869,1,2,0
870,2,3,1
871,1,1,1
872,0,1,3
873,2,1,0
874,1,1,1
875,1,2,0
876,2,2,3
877,3,0,3
878,3,1,0
879,0,3,0
880,0,3,0
881,1,3,3
882,0,2,0
883,0,3,0
884,2,0,0
885,1,1,1
886,2,2,3
887,3,1,0
888,1,2,0
889,2,0,0
890,2,2,3
891,0,0,1
892,1,3,3
893,3,3,0
894,2,1,0
895,0,2,0
896,1,0,0
897,1,3,3
898,1,3,3
899,2,0,0
900,2,2,3
901,0,2,0
902,2,1,0
903,0,2,0
904,0,3,0
905,3,3,0
906,0,1,3
907,2,3,1
908,3,0,3
909,3,3,0
910,2,2,3
911,0,0,1
912,0,3,0
913,0,3,0
914,3,0,3
915,3,1,0
916,3,0,3
917,1,1,1
918,3,0,3
919,3,0,3
920,1,1,1
921,0,2,0
922,1,1,1
923,0,1,3
924,3,2,1
925,1,0,0
926,1,3,3
927,3,1,0
928,3,1,0
929,0,3,0
930,2,3,1
931,3,1,0
932,1,1,1
933,0,0,1
934,0,1,3
935,3,1,0
936,1,0,0
937,2,0,0
938,2,0,0
939,2,1,0
940,1,3,3
941,1,3,3
942,0,2,0
943,3,0,3
944,2,1,0
945,2,0,0
946,0,2,0
947,3,3,0
948,2,1,0
949,0,1,3
950,0,2,0
951,0,2,0
952,0,0,1
953,2,0,0
954,1,3,3
955,1,1,1
956,1,1,1
957,2,0,0
958,1,0,0
959,2,2,3
960,1,3,3
961,3,3,0
962,0,1,3
963,2,1,0
964,0,0,1
965,2,0,0
966,3,2,1
967,1,3,3
968,0,1,3
969,0,2,0
970,2,3,1
971,0,0,1
972,1,1,1
973,1,0,0
974,0,1,3
975,0,3,0
976,3,2,1
977,2,0,0
978,3,3,0
979,3,2,1
980,3,3,0
981,0,3,0
982,3,3,0
983,0,0,1
984,0,0,1
985,2,0,0
986,2,3,1
987,2,3,1
988,3,0,3
989,0,3,0
990,3,1,0
991,0,3,0
992,2,2,3
993,1,1,1
994,2,1,0
995,2,2,3
996,2,0,0
997,1,3,3
998,0,1,3
999,3,3,0
