$S_1$,$S_2$,$S_3$,$S_4$,$S_5$,$S_6$,$D_1$,$D_2$,$D_3$
1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,1,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0,1
0,0,1,1,0,0,1,0,1
0,0,1,1,0,0,1,0,1
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,1,0,1,1,1,0
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,1,1
0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,0
0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1
0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,1
0,0,1,1,0,0,1,0,1
0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1
0,1,1,0,0,1,0,1,1
1,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
1,1,0,1,0,0,1,0,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1
